symbol,name,security_type,sector,is_cross_listed,country_of_incorporation,currency,shares_outstanding,reporting_scale,reporting_scale_source,notes
# ---------------------------------------------------------------------------
# DSE instrument master.
#
# Generated from the Symbols sheet of the Kadioko DSE Sheet by
# scripts/extract-from-sheet.py. This is reference data (which securities
# exist and how many shares are in issue), NOT market data. No prices,
# volumes or order-book figures appear here.
#
# shares_outstanding drives the MARKET_CAP_ANOMALY data-quality check, so a
# wrong figure produces false warnings at import. Re-run the extractor after
# any corporate action that changes the share count.
# ---------------------------------------------------------------------------
AFRIPRISE,Afriprise Investment PLC,EQUITY,Investment,false,TZ,TZS,146032000,,,
CRDB,CRDB Bank PLC,EQUITY,Banking,false,TZ,TZS,2611837037,,,
DCB,DCB Commercial Bank PLC,EQUITY,Banking,false,TZ,TZS,191591398,,,
DSE,Dar es Salaam Stock Exchange PLC,EQUITY,Financial Services,false,TZ,TZS,23823440,,,
EABL,East African Breweries PLC,EQUITY,Consumer Goods,true,KE,TZS,790774597,,,
JATU,JATU PLC,EQUITY,Agriculture,false,TZ,TZS,19924528,,,
JHL,Jubilee Holdings Ltd,EQUITY,Insurance,true,KE,TZS,72472832,,,
KA,Kenya Airways PLC,EQUITY,Transport,true,KE,TZS,5681454545,,,
KCB,KCB Group PLC,EQUITY,Banking,true,KE,TZS,2970338462,,,
MBP,Maendeleo Bank PLC,EQUITY,Banking,false,TZ,TZS,29988095,,,
MCB,MCB — name to confirm with DSE,EQUITY,Banking,false,TZ,TZS,247308642,,,
MKCB,Mkombozi Commercial Bank PLC,EQUITY,Banking,false,TZ,TZS,23555851,,,
MUCOBA,MUCOBA Bank PLC,EQUITY,Banking,false,TZ,TZS,32659341,,,
NICO,National Investments Company Ltd (NICOL),EQUITY,Investment,false,TZ,TZS,61643979,,,
NMB,NMB Bank PLC,EQUITY,Banking,false,TZ,TZS,5000000000,,,
NMG,Nation Media Group PLC,EQUITY,Media,true,KE,TZS,188545455,,,
PAL,Precision Air Services PLC,EQUITY,Transport,false,TZ,TZS,160463768,,,
SWALA,Swala Oil and Gas (Tanzania) PLC,EQUITY,Oil & Gas,false,TZ,TZS,106200000,,,
SWIS,Swissport Tanzania PLC,EQUITY,Industrials,false,TZ,TZS,36000000,,,
TBL,Tanzania Breweries Ltd,EQUITY,Consumer Goods,false,TZ,TZS,295056395,,,
TCC,Tanzania Cigarette Company Ltd,EQUITY,Consumer Goods,false,TZ,TZS,100000000,,,
TCCL,Tanga Cement PLC,EQUITY,Industrials,false,TZ,TZS,191012658,,,
TOL,TOL Gases Ltd,EQUITY,Basic Materials,false,TZ,TZS,57503356,,,
TPCC,Tanzania Portland Cement PLC (Twiga),EQUITY,Industrials,false,TZ,TZS,179922314,,,
TTP,Tanzania Tea Packers Ltd (TATEPA),EQUITY,Consumer Goods,false,TZ,TZS,95066667,,,
USL,Uchumi Supermarkets PLC,EQUITY,Retail,true,KE,TZS,365000000,,,
VODA,Vodacom Tanzania PLC,EQUITY,Telecommunications,false,TZ,TZS,2240000000,,,
YETU,Yetu Microfinance Bank PLC,EQUITY,Banking,false,TZ,TZS,12117647,,,
IEACLC-ETF,IEACLC ETF,EQUITY,Exchange Traded Fund,false,TZ,TZS,141111940,,,
VERTEX-ETF,VERTEX ETF,EQUITY,Exchange Traded Fund,false,TZ,TZS,54000000,,,
