Date,Symbol,Open,Previous Close,Close,High,Low,Change,Turnover,Deals,Volume,Outstanding Bid,Outstanding Offer,Market Cap
2026-08-21,AFRIPRISE,,,,,,,,,,,,
2026-08-21,CRDB,,,,,,,,,,,,
2026-08-21,DCB,,,,,,,,,,,,
2026-08-21,DSE,,,,,,,,,,,,
2026-08-21,EABL,,,,,,,,,,,,
2026-08-21,JATU,,,,,,,,,,,,
2026-08-21,JHL,,,,,,,,,,,,
2026-08-21,KA,,,,,,,,,,,,
2026-08-21,KCB,,,,,,,,,,,,
2026-08-21,MBP,,,,,,,,,,,,
2026-08-21,MCB,,,,,,,,,,,,
2026-08-21,MKCB,,,,,,,,,,,,
2026-08-21,MUCOBA,,,,,,,,,,,,
2026-08-21,NICO,,,,,,,,,,,,
2026-08-21,NMB,,,,,,,,,,,,
2026-08-21,NMG,,,,,,,,,,,,
2026-08-21,PAL,,,,,,,,,,,,
2026-08-21,SWALA,,,,,,,,,,,,
2026-08-21,SWIS,,,,,,,,,,,,
2026-08-21,TBL,,,,,,,,,,,,
2026-08-21,TCC,,,,,,,,,,,,
2026-08-21,TCCL,,,,,,,,,,,,
2026-08-21,TOL,,,,,,,,,,,,
2026-08-21,TPCC,,,,,,,,,,,,
2026-08-21,TTP,,,,,,,,,,,,
2026-08-21,USL,,,,,,,,,,,,
2026-08-21,VODA,,,,,,,,,,,,
2026-08-21,YETU,,,,,,,,,,,,
2026-08-21,IEACLC-ETF,,,,,,,,,,,,
2026-08-21,VERTEX-ETF,,,,,,,,,,,,
